Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Active
champs_id,source_information,,text,CHAMPS ID,,,,,,,,,,,,, @CHARLIMIT='9',1
form_version,source_information,,text,Form Version,,,,,,,,,,,,," @HIDDEN@READONLY@DEFAULT=""2.1.0""",1
am1_country,source_information,,radio,CHAMPS site,"004, Kenya | 003, Mozambique | 007, Sierra Leone | 001, South Africa",,,,,,,,,,,,,1
am1_info_avail,source_information,Adult Clinical Data Abstraction Form,radio,Is any clinical information available for this case?,"CH00001, Yes | CH00002, No",,,,,,,,RH,,,,,1
am1_oth_study,source_information,Adult Clinical Data Abstraction Form,radio,Was the patient ever enrolled in any other studies?,"CH00001, Yes | CH00002, No | CH00003, Unknown",,,,,,,,,,,,,1
am1_oth_study_id,source_information,Adult Clinical Data Abstraction Form,text,"If yes, please list studies and study IDs, if known.",,,,,,,[am1_oth_study] = 'CH00001',,,,,,,1
am1_dss,source_information,Adult Clinical Data Abstraction Form,text,DSS ID (if available),,,,,,y,,,,,,,,1
am1_fac_multi,source_information,Adult Clinical Data Abstraction Form,radio,Was clinical information obtained from multiple facilities?,"CH00001, Yes | CH00002, No",,,,,,[am1_info_avail]='CH00001',,,,,,,1
am1_fac_type_sl,source_information,Adult Clinical Data Abstraction Form,checkbox,What type of facility were the sources obtained from?,"CH00012, Hospital | CH00013, Health Center | CH00014, Health Post | CH00017, Other location | CH00003, Unknown",Select all that apply,,,,,[am1_info_avail]='CH00001' and [user-dag-id] = '257',,,,,,,1
am1_fac_type_ke,source_information,Adult Clinical Data Abstraction Form,checkbox,What type of facility were the sources obtained from?,"CH00012, Hospital | CH00013, Health Center | CH00014, Dispensary | CH00017, Other location | CH00003, Unknown",Select all that apply,,,,,[am1_info_avail]='CH00001' and [user-dag-id] = '258',,,,,,,1
am1_fac_type_oth,source_information,Adult Clinical Data Abstraction Form,text,Specify other location where sources were obtained:,,,,,,y,[am1_fac_type_sl(CH00017)] = '1' or [am1_fac_type_ke(CH00017)] = '1',,,,,,,1
am1_fac_sl,source_information,Adult Clinical Data Abstraction Form,checkbox,From what facilities was information obtained?,"CH02739, Bo - Government Hospital | CH02740, Bo - Agape CHC | CH02741, Bo - Child Resue Center | CH02742, Bo - Children Hospital | CH02743, Bo - Favour MCHP | CH02744, Bo - Gender MCHP | CH02745, Bo - Gila's Hospital | CH02746, Bo - Haikel CHC | CH02747, Bo - Kindoya Hospital | CH02748, Bo - Lewadu CHC | CH02749, Bo - M. M. Maternity MCHP | CH02750, Bo - MCH (Kakua) Static | CH02751, Bo - Mercy Hospital | CH02752, Bo - Needy CHC | CH02753, Bo - New Police Barracks CHC | CH02754, Bo - Praise Foundation CHC | CH02755, Bo - Simbo Town CHP | CH02756, Bo - SLRCS (Bo) Clinic CHC | CH02757, Bo - Tikonko CHC | CH02758, Bo - UNIMUS MCHP | CH02759, Bo - Yemmu Town CHC | CH02760, Bo - Zaion (Bendawa) CHC | CH01566, Bombali - Loreto Clinic | CH01569, Bombali - Mabolleh | CH01578, Bombali - Maforay | CH01559, Bombali - Magbeneth Community Hospital | CH01577, Bombali - Makama | CH01558, Bombali - Makeni Government Hospital | CH01573, Bombali - Makump Bana | CH01572, Bombali - Manonkoh | CH01570, Bombali - Masorie | CH01575, Bombali - Pate Bana | CH01568, Bombali - Red Cross | CH01571, Bombali - Robat | CH01574, Bombali - Rokunta | CH01576, Bombali - Teko Baracks | CH01857, Other Health Facility | CH00750, Unknown or Unavailable",Select all that apply,,,,y,[am1_info_avail]='CH00001' and [user-dag-id] = '379',,,,,,,1
