Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Active
report_id,initial_death_notification,,text,Death Notification ID Number,,,,,,,,y,,,,,[report_id] ; Version 0.0.0,1
report_ver_nmb,initial_death_notification,,text,Form Version,,,,,,,,y,,,,," @READONLY @DEFAULT=""4.0.0""",1
report_note_dt,initial_death_notification,Instructions: This form should be completed by a CHAMPS surveillance staff member upon earliest notification of an adult death (age 18 and over). ,text,Date of death notification,,DD/MM/YYYY,date_dmy,,,,,y,,,,,[report_note_dt] ; Version 0.0.0,1
report_note_time,initial_death_notification,Instructions: This form should be completed by a CHAMPS surveillance staff member upon earliest notification of an adult death (age 18 and over). ,text,Time of death notification,,24 hour,time,,,,,y,,,,,[report_note_time] ; Version 0.0.0,1
report_child_firstname,initial_death_notification,Case Information,text,Deceased's first name (if available),,,,,,y,,,,,,,,1
report_child_surname,initial_death_notification,Case Information,text,Deceased's surname,,,,,,y,,,,,,,,1
report_sex,initial_death_notification,Case Information,radio,Sex of deceased ,"CH00030, Male|CH00031, Female|CH00032, Indeterminate|CH00033, Unknown",,,,,,,y,,,,,[report_sex] ; Version 0.0.0,1
idnf_dobclass,initial_death_notification,Birthdate or Age,radio,The date of birth is:,"CH01844, Exact | CH01845, Approximate | CH00003, Unknown",,,,,,,y,,,,,,1
report_dob,initial_death_notification,Birthdate or Age,text,Date of <u>BIRTH</u>,,"DD/MM/YYYY - if DOB is approximate, use 15th as day of the month",date_dmy,,,,[idnf_dobclass] = 'CH01844' or [idnf_dobclass] = 'CH01845',y,,,,,[report_dob] ; Version 0.0.0,1
report_age_class,initial_death_notification,Birthdate or Age,radio,Age classification (estimate by examiner),"CH0BL18, Below 18 years old | CH03278, 18-24 years old | CH03279, 25-35 years old | CHO3280, 36-45 years old | CH03281, 46-50 years old | CH03282, 51-60 years old | CH03283, 61-70 years old | CH03284, Over 71 years old | CH00003, Unknown","If these categories are acceptable, PO can supply CHAMPS codes for these categories",,,,,[idnf_dobclass]='CH00003',y,,,,,,1
idnf_dodclass,initial_death_notification,Death,radio,The date of death is:,"CH01844, Exact | CH01845, Approximate | CH00003, Unknown",,,,,,,y,,,,,,1
report_death_dt,initial_death_notification,Death,text,Date of <u>DEATH</U>,,DD/MM/YYYY,date_dmy,,,,([idnf_dodclass] = 'CH01844' or [idnf_dodclass] = 'CH01845'),y,,,,,[report_death_dt] ; Version 0.0.0,1
report_death_time,initial_death_notification,Death,text,"Approximate time of <u>DEATH</u>
",,24 hour,time,,,,,y,,,,,[report_death_time] ; Version 0.0.0,1
report_death_location,initial_death_notification,Death,radio,"Location of death
","CH00012, Hospital|CH00013, Health Center|CH00014, Health Post|CH00015, Home (own or family)|CH00016, On the way to health facility|CH01839, From one health facility to another|CH01841, Traditional healer place of practice|CH01840, Traditional birth attendant place of practice|CH00017, Other location|CH00003, Unknown",,,,,,,y,,,,,[report_death_location] ; Version 0.0.0,1
report_dthloc_other,initial_death_notification,Death,text,Specify location of death,,,,,,,[report_death_location] = 'CH00017',y,,,,,[report_dthloc_other] ; Version 0.0.0,1
report_dthloc_code,initial_death_notification,Death,dropdown,Select health facility where death occurred,"CH00922, Hospital Distrital da Manhica | CH02858, Hospital Central de Quelimane | CH03863, Maputo Central Hospital | CH01303, Chris Hani Baragwanth Hospital | CH03862, Charlotte Maxeke Johannesburg Academic Hospital | CH01518, Faridpur Medical College Hospital | CH01524, Baliakandi Upazila Health Complex | CH01516, Dr. Zahed Memorial pediatric hospital | CH001897, Aga Khan Hospital | CH01666, Siaya County Referral Hospital (SCRH) | CH01633, Kisumu County Referral Hospital (KCRH) | CH01632, JOOTRH | CH01857, Other Health Facility | CH00750, Unknown or Unavailable",,,,,,[report_death_location] = 'CH00012' OR [report_death_location] = 'CH00013' OR [report_death_location] = 'CH00014',y,,,,,,1
report_dthloc_facility_other,initial_death_notification,Death,text,Specify health facility where death occurred,,,,,,,[report_dthloc_code] = 'CH01857',y,,,,,,1
report_buried,initial_death_notification, Body Availability and Age,radio,"Has the body already been buried, cremated, or embalmed?","CH00001, Yes | CH00002, No | CH00003, Unknown",,,,,,,y,RH,,,,[report_buried] ; Version 0.0.0,1
report_caretaker_firstname,initial_death_notification,Contact and Religion Information,text,Caretaker/next of kin first name,,,,,,y,,,,,,,,1
report_caretaker_surname,initial_death_notification,Contact and Religion Information,text,Caretaker/next of kin surname,,,,,,y,,,,,,,,1
report_care_religion,initial_death_notification,Contact and Religion Information,radio,"Deceased's religion(s) reported upon notification

","CH00025, Muslim | CH00024, Christian | CH00026, Traditional African Religion | CH00027, Hindu | CH00916, Judaism | CH00028, Buddhist | CH01843, No Religion | CH00003, Unknown | CH01278, Christian: African independent Church (ZCC, Shembe, Apostolic) | CH00917, Christian: Catholic | CH00918, Christian: Envagelicos | CH01277, Christian: Evangelical Charismatic | CH00919, Christian: Protestant | CH00920, Christian: Zione | CH01992, Ethiopian Orthodox | CH01279, Traditional African: Ancestral | CH01994, Traditional African: Cultural | CH01280, Traditional African: Tribal | CH00921, Traditional African: Zione | CH01993, Waqefeta | CH00029, Other religion",,,,,,,y,,,,," @HIDECHOICE='CH00921,CH01280,CH01994,CH01279,CH00920,CH00919,CH01277,CH00918,CH00917,CH01278,CH01992,CH01993' ; [report_care_religion] ; Version 0.0.0",1
report_carerelig_other,initial_death_notification,Contact and Religion Information,text,Other (specify),,,,,,,[report_care_religion] = 'CH00029',y,,,,,[report_carerelig_other] ; Version 0.0.0,1
report_notes,initial_death_notification,NOTES:,notes,"Notes: Include any relevant information related to case


<i> (location of body, expected burial/embalmment time)</i>",,,,,,y,,,LV,,,,[report_comment] ; Version 0.0.0,1
site_id,death_notification_management,NOTES:,dropdown,Site ID,"001, South Africa | 003, Mozambique | 004, Kenya | 007, Sierra Leone",,,,,,,y,,,,,,1
catchment_id_za,death_notification_management,NOTES:,radio,Catchment ID,"003, Chris Hani Baragwanath Academic Hospital | 004, Charlotte Maxeke Johannesburg Academic Hospital",,,,,,[site_id] = '001',y,,,,,,1
catchment_id_mz,death_notification_management,NOTES:,radio,Catchment ID,"004, Quelimane Central Hospital | 005, Manhica District Hospital | 006, Maputo Central Hospital",,,,,,[site_id] = '003',y,,,,, @HIDECHOICE='006',1
catchment_id_ke,death_notification_management,NOTES:,radio,Catchment ID,"005, Kisumu | 006, Siaya counties | 007, Nairobi",,,,,,[site_id] = '004',y,,,,, @HIDECHOICE='007',1
catchment_id_sl,death_notification_management,NOTES:,radio,Catchment ID,"005, Bo | 006, Bombali | 007, Western Urban District (Freetown)",,,,,,[site_id] = '007',y,,,,, @HIDECHOICE='007',1
calc_age_years,death_notification_management,NOTES:,calc,Current Age (Years) ,"rounddown(datediff([report_death_dt], [report_dob], 'y'))",,,,,y,[report_death_dt] <> '' and [report_dob] <> '',y,,,,, @READONLY,1
report_eligibility,death_notification_management,NOTES:,descriptive,"<div class=""rich-text-field-label""><h3 style=""text-align: center;""><span style=""background-color: #f1c40f; font-weight: normal;"">Confirm the age reported is above 15 and the body is available for specimen collection</span></h3></div>",,,,,,,([report_buried] = 'CH00001') or ( [calc_age_years] < '15' or [report_age_class] = 'CH0BL18'),,,,,, @READONLY,1
report_decision,death_notification_management,NOTES:,radio,Indicate next step with this case,"CH00034, Potentially eligible: Proceeding to eligibility screening | CH01425, Potentially eligible: Delaying eligibility screening | CH01426, Potentially eligible: Not approaching for eligibility screening | CH00035, Duplicate death notification | CH00036, Not eligible for CHAMPS | CH00037, Lost to follow-up (unable to reach) | CH00038, Do Not Proceed with eligibility sample size has been met",,,,,,,y,LV,,,,[report_decision] ; Version 0.0.0,1
deceased_residence,death_notification_management,NOTES:,radio, Deceased Residence,"1, Urban | 2, Rural | 3, Unknown",,,,,y,[report_decision] = 'CH00034' or [report_decision] = 'CH01425' or [report_decision] = 'CH01426' or [report_decision] = 'CH00038' or [report_decision] = 'CH00037' or [report_decision] = 'CH00036',y,,,,,,1
