"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
champs_id,disposition_of_body_form,,text,"CHAMPS ID",,,,,,,,,,,,,
vr_numb,disposition_of_body_form,,text,"Form Version",,,,,,,,,,,,," @HIDDEN @DEFAULT = ""4.3.0"""
disp_givennames,disposition_of_body_form,,text,"Given name(s) of deceased",,"if available",,,,y,,,,,,,
disp_surname,disposition_of_body_form,,text,"Surname of deceased",,,,,,y,,,,,,,
disp_transportneeded,disposition_of_body_form,"Deceased Body Return Details",radio,"Does the body need to be released for transport outside facility following MITS procedure to another entity (e.g. undertaker, family home)?","CH00001, Yes | CH00002, No",,,,,,,,RH,,,,
disp_body_loc,disposition_of_body_form,,notes,"Location where body should be delivered following MITS procedure",,"If outside facility, please provide exact address or location name.",,,,,,,,,,,
disp_notes,disposition_of_body_form,,notes,"Notes (including any details regarding how the body should be returned):",,,,,,,,,,,,,
disp_body_date,disposition_of_body_form,"Initial Release of Body from Family/Morgue/Hospital Ward",text,"Date body released to CHAMPS team for MITS procedure",,DD/MM/YYYY,date_dmy,,,,,y,,,,,disp_body_date
disp_body_time,disposition_of_body_form,,text,"Time of release of body",,"24 hour",time,,,,,y,,,,,disp_body_time
disp_bodyreceipt1,disposition_of_body_form,,text,"Name of individual to whom the body was released",,"Surname,          Given Name(s) ",,,,y,,,,,,,
disp_transport_time,disposition_of_body_form,"Release and Transfer of Body Following MITS Specimen Collection",text,"Time body taken (following MITS) for release to family or other designated entity as determined above",,"24 hour",time,,,,,y,,,,,disp_transport_time
disp_deliver_date,disposition_of_body_form,,text,"Date delivered to family or designated entity ",,DD/MM/YYYY,date_dmy,,,,,y,,,,,disp_deliver_date
disp_deliver_time,disposition_of_body_form,,text,"Time body delivered to family or designated entity ",,"24 hour",time,,,,,y,,,,,disp_deliver_time
