Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
bld_microbiology_results_complete,bld_microbiology_results,,text,bld_microbiology_results_complete,,,,,,,,,,,,,
clinical_lab_results_complete,clinical_lab_results,,text,clinical_lab_results_complete,,,,,,,,,,,,,
lung_only_mits_complete,lung_only_mits,,text,lung_only_mits_complete,,,,,,,,,,,,,
site_pathology_report_complete,site_pathology_report,,text,site_pathology_report_complete,,,,,,,,,,,,,
ast_complete,ast,,text,ast_complete,,,,,,,,,,,,,
csf_microbiology_results_complete,csf_microbiology_results,,text,csf_microbiology_results_complete,,,,,,,,,,,,,
lung_microbiology_results_complete,lung_microbiology_results,,text,lung_microbiology_results,,,,,,,,,,,,,
gross_examination_complete,gross_examination,,text,gross_examination_complete,,,,,,,,,,,,,
placenta_gross_examination_complete,placenta_gross_examination,,text,placenta_gross_examination_complete,,,,,,,,,,,,,
mits_specimen_collection_form_complete,mits_specimen_collection_form,,text,mits_specimen_collection_form_complete,,,,,,,,,,,,,
disposition_of_body_form_complete,disposition_of_body_form,,text,disposition_of_body_form_complete,,,,,,,,,,,,,
placenta_microscopic_examination_complete,placenta_microscopic_examination,,text,placenta_microscopic_examination_complete,,,,,,,,,,,,,
