Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Active,form_sequence_id
packet_version_id,decode_panel_form,,text,DeCoDe Packet Version ID,,,,,,,,y,,,,,,,1
id_ver_nmb,decode_panel_form,,text,Form Version,,,,,,,,y,,,,," @READONLY @DEFAULT=""3.0.0""",,1
champs_id,decode_panel_form,,text,CHAMPS_ID (Mortality),,,,,,,,y,,,,,,,1
dp_000,decode_panel_form,,descriptive,CHAMPS Form CRF_08.00.03 v2.0.0 2019_09_20,,,,,,,,,,,,,,,1
dp_001,decode_panel_form,1.0 Panel Information,text,"Site ID #",,,,,,,,y,,,,," @READONLY @DEFAULT=""001""",,1
dp_002,decode_panel_form,,text,Panel Member ID (1),,,,,,,,y,,,,,,,1
dp_003,decode_panel_form,,text,Panel Member ID (2),,There must be at least two (2) Panel Members,,,,,,y,,,,,,,1
dp_004,decode_panel_form,,text,Panel Member ID (3),,,,,,,,,,,,,,,1
dp_005,decode_panel_form,,text,Panel Member ID (4),,,,,,,,,,,,,,,1
dp_006,decode_panel_form,,text,Panel Member ID (5),,,,,,,,,,,,,,,1
dp_007,decode_panel_form,,text,Panel Member ID (6),,,,,,,,,,,,,,,1
dp_008,decode_panel_form,,text,Panel Member ID (7),,,,,,,,,,,,,,,1
dp_009,decode_panel_form,,text,Panel Member ID (8),,,,,,,,,,,,,,,1
dp_010,decode_panel_form,,text,Panel Member ID (9),,,,,,,,,,,,,,,1
dp_011,decode_panel_form,,text,Panel Member ID (10),,,,,,,,,,,,,,,1
dp_012,decode_panel_form,,text,Date of review ,,DD/MM/YYYY,date_dmy,,,,,y,,,,,,,1
dp_013,decode_panel_form,2.0 Case Information,radio,Case Type,"CH03278, Adult (18-24 years old) | CH03279, Adult (25-35 years old) | CH03280, Adult (36-45 years old) | CH03281, Adult (46-50 years old) | CH03282, Adult (51-60 years old) | CH03283, Adult (61-70 years old) | CH03284, Adult (over 71 years old) | CH00003, Adult (age unknown)",,,,,,,y,,,,,,,1
dp_015,decode_panel_form,3.0 Cause of Death Results,descriptive,,,,,,,,,,,,,,,,1
dp_016,decode_panel_form,,radio,Was any cause of death determined?,"CH00001, Yes | CH00002, No","If no, indicate why",,,,,,y,,,,,,,1
dp_017,decode_panel_form,,radio,Indicate why the panel was unable to determine the cause of death?,"CH01387, Incomplete Data|CH01388, Inconclusive Data",,,,,,[dp_016]='CH00002',,,,,,,,1
dp_154,decode_panel_form,,notes,Please comment on any causes or conditions that were definitively ruled-out by the Panel,,,,,,,[dp_016]='CH00002',,,,,,,,1
dp_155,decode_panel_form,,radio,Was more than one cause of death determined?,"CH00001, Yes|CH00002, No",,,,,,[dp_016]='CH00001',y,,,,,,,1
dp_108,decode_panel_form,3(a) Underlying Cause,text,"Underlying cause or factor

Enter ""Undetermined"" if no cause of death was determined by the panel",,,,,,,,y,,,,,,,1
