ReportViewName,ReportViewId,ReportSequence,ReportUri,ReportUriHeader,PackageType
Adult-HIV-CA-source_info,37f6f035-d70b-4066-a703-90f2654004a0,1,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/37f6f035-d70b-4066-a703-90f2654004a0/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,3.2
Adult-HIV-CA-present_illness,7a4076c9-f55e-4bb1-901e-d01364b76458,2,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/7a4076c9-f55e-4bb1-901e-d01364b76458/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,3.2
Adult-HIV-CA-past_history,80c32124-f5a6-4c3f-ad5b-d422f9fc29da,3,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/80c32124-f5a6-4c3f-ad5b-d422f9fc29da/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,3.2
Adult-HIV-CA-hospital_course,bb07321a-3dd1-45b3-af70-b87a7725a2b2,4,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/bb07321a-3dd1-45b3-af70-b87a7725a2b2/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,3.2
Adult-HIV-CA-diagnostic_testing,b900ca70-feb7-427a-b18b-bbae77847bbe,5,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/b900ca70-feb7-427a-b18b-bbae77847bbe/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,3.2
Adult-HIV-CA-medication_and_inteventions,c5acce27-c61e-4e3c-ae97-e50ef32717a9,6,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/c5acce27-c61e-4e3c-ae97-e50ef32717a9/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,3.2
Adult-HIV-Project1_1-death_notification_management,dd5930bc-4fc3-4ea3-8395-d6375c77023a,2,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/dd5930bc-4fc3-4ea3-8395-d6375c77023a/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,1.1
Adult-HIV-Project1_1-initial_death_notification,1fbd572e-9748-4b07-8bf0-739cbc6cc94a,1,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/1fbd572e-9748-4b07-8bf0-739cbc6cc94a/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,1.1
Adult-HIV-Project1_1-eligibility_screening_form,da3037a0-5334-4482-b4c1-d0e6f035a645,3,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/da3037a0-5334-4482-b4c1-d0e6f035a645/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,1.1
Adult-HIV-Project1_1-consent_tracking,4698e980-8860-4aea-9c8f-3e76d2e3c12e,4,https://api-tableau.aws.emory.edu/api/3.21/sites/606868a1-e41d-4330-9a5f-57959f6c8272/views/4698e980-8860-4aea-9c8f-3e76d2e3c12e/pdf?maxAge=1&type=A3&orientation=Portrait&vf_ChampsId=,NULL,1.1
